PLAYER_ID,PLAYER,AVG,driving_distance_AVG,fir_%,gir_%,putting_AVG,scrambling_%
30163,Henrik Norlander,71.203,296.6,64.19,68.64,29.48,60.31
55182,Tom Kim,71.207,299.3,60.0,63.5,28.67,58.94
55165,Noah Goodwin,71.217,302.0,67.22,67.69,29.03,61.11
60882,Thomas Rosenmueller,71.22,312.4,64.3,72.71,30.04,54.57
40115,Adam Svensson,71.233,297.0,66.54,69.78,29.68,59.07
33948,Byeong Hun An,71.254,306.6,54.22,65.03,28.82,59.75
27139,David Skinns,71.275,311.3,58.98,69.4,29.51,56.58
49453,Trevor Cone,71.288,316.8,59.42,69.4,29.97,56.7
29535,Brice Garnett,71.313,291.4,69.27,69.44,29.05,64.2
57900,Chandler Phillips,71.332,299.8,61.58,65.07,28.7,61.22
47347,Adam Schenk,71.34,307.1,56.26,65.1,29.01,58.07
29725,Tony Finau,71.35,304.9,56.94,64.95,29.1,57.81
47988,Nick Hardy,71.355,312.6,58.29,71.0,29.81,56.82
54607,Danny Walker,71.38,309.0,55.75,65.13,28.55,56.86
46601,Trey Mullinax,71.383,316.2,54.06,69.62,29.15,53.69
40162,Justin Lower,71.386,300.6,64.93,67.03,29.24,57.65
54304,Karl Vilips,71.387,308.7,56.95,66.76,29.17,54.47
46443,Brian Campbell,71.392,278.4,66.77,61.19,28.47,57.47
46646,Antoine Rozner,71.392,310.5,58.03,69.98,30.04,53.31
58605,Quade Cummins,71.403,306.7,57.3,66.14,28.66,62.31
40006,Erik van Rooyen,71.403,307.9,59.3,66.83,29.21,51.97
36326,David Lipsky,71.474,294.9,65.84,67.59,29.0,61.76
57362,Austin Eckroat,71.475,300.5,66.38,68.02,29.48,54.03
56781,Isaiah Salinda,71.498,314.0,62.23,68.91,29.54,58.67
39977,Max Homa,71.545,300.8,60.49,66.36,28.7,60.18
35532,Tom Hoge,71.583,296.6,60.38,62.59,28.33,59.9
45523,Thriston Lawrence,71.611,299.5,62.95,67.09,29.67,55.19
27129,Luke List,71.618,310.9,62.98,66.98,29.44,59.0
47995,Davis Riley,71.676,305.6,55.21,62.33,28.38,58.09
33597,Harry Higgs,71.681,309.9,58.81,65.35,29.03,56.54
32757,Patton Kizzire,71.681,299.0,60.6,65.68,28.77,61.1
60067,Joe Highsmith,71.686,299.9,61.6,61.25,28.65,54.66
51634,Sahith Theegala,71.708,303.6,56.73,65.14,28.83,56.35
59160,John Pak,71.709,292.4,67.39,66.83,29.3,58.5
56762,Will Gordon,71.736,315.9,58.23,69.84,30.27,55.59
45157,Cam Davis,71.745,302.2,53.9,62.59,28.52,54.99
33399,Adam Hadwin,71.797,302.8,62.14,65.33,28.94,55.17
27770,Camilo Villegas,71.87,291.9,52.31,64.19,28.71,55.37
55708,Hayden Buckley,72.067,306.6,65.51,67.52,29.54,56.58
34466,Peter Malnati,72.082,301.3,48.06,61.46,28.49,59.04
50474,Tim Widing,72.162,313.9,56.23,65.28,29.02,53.82
48153,Matthieu Pavon,72.167,299.9,63.09,64.99,29.46,53.24
58619,Kevin Velo,72.178,302.4,63.94,66.85,29.66,58.52
55623,Kaito Onishi,72.186,301.5,59.97,63.37,28.72,62.36
52370,Mason Andersen,72.214,299.1,58.35,63.65,28.66,60.62
58933,Will Chandler,72.28,301.1,61.46,63.62,29.17,56.13
52144,Braden Thornberry,72.307,305.5,53.28,63.64,28.93,56.94
49590,Frankie Capan III,72.341,304.1,45.42,59.88,28.35,57.58
59866,Nick Dunlap,72.351,299.3,51.06,65.39,29.0,56.83
64693,Matthew Riedel,72.38,306.2,58.58,68.01,30.1,55.69
39859,Cristobal Del Solar,72.398,305.9,51.94,63.58,28.83,52.78
51690,Taylor Dickson,72.557,303.0,60.99,63.75,29.39,57.79
32070,Rafael Campos,72.66,306.5,55.65,62.07,28.89,54.3
23320,Ryan Palmer,73.503,298.1,59.28,61.11,29.31,53.27
